Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,144.51,148.69,144.51,148.34,148.34,1238900
2019-04-02,148.73,149.12,147.17,148.74,148.74,1094500
2019-04-03,149.64,151.03,149.01,150.12,150.12,1174700
2019-04-04,150.49,151.85,150.1,151.76,151.76,769900
2019-04-05,152.0,152.94,151.84,152.2,152.2,993300
2019-04-08,151.63,154.01,151.26,153.91,153.91,1172300
2019-04-09,152.77,152.77,150.67,150.99,150.99,918800
2019-04-10,151.53,152.14,150.22,151.69,151.69,790100
2019-04-11,152.19,154.39,151.58,154.33,154.33,1024800
2019-04-12,155.44,156.53,154.68,156.4,156.4,807200
