Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,19.57,19.98,19.5,19.97,19.97,4423400
2019-04-02,19.92,20.05,19.76,19.85,19.85,3475100
2019-04-03,20.1,20.19,19.91,20.12,20.12,3422100
2019-04-04,20.16,20.42,20.11,20.19,20.19,4014300
2019-04-05,20.28,20.5,20.14,20.49,20.49,7393400
2019-04-08,20.48,20.66,20.38,20.52,20.52,4740000
2019-04-09,20.46,20.52,20.25,20.3,20.3,2837800
2019-04-10,20.49,20.83,20.33,20.79,20.79,3894800
2019-04-11,20.91,21.16,20.79,20.85,20.85,3980800
2019-04-12,21.25,21.4,21.02,21.32,21.32,3475900
