Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,102.23,103.88,102.18,103.45,103.45,727100
2019-04-02,103.45,104.03,102.65,103.22,103.22,723800
2019-04-03,103.71,105.21,103.24,103.54,103.54,483200
2019-04-04,103.54,105.79,103.54,104.28,104.28,494500
2019-04-05,104.43,105.26,104.1,104.68,104.68,675800
2019-04-08,104.5,105.0,103.74,104.01,104.01,629600
2019-04-09,103.01,103.64,102.33,103.0,103.0,544200
2019-04-10,102.86,102.91,101.29,102.38,102.38,1012700
2019-04-11,102.76,104.91,102.27,104.7,104.7,1173600
2019-04-12,105.25,107.01,105.18,106.68,106.68,1131900
