Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,37.24,37.36,36.83,36.92,36.92,4867400
2019-04-02,37.02,37.02,36.36,36.5,36.5,5215500
2019-04-03,36.67,36.75,35.92,36.01,36.01,7136900
2019-04-04,36.0,36.65,35.99,36.14,36.14,8130400
2019-04-05,36.12,36.57,36.11,36.19,36.19,8554800
2019-04-08,36.2,36.52,36.11,36.4,36.4,4818100
2019-04-09,36.2,36.26,35.81,35.87,35.87,5066700
2019-04-10,36.02,36.08,35.73,35.82,35.82,5095600
2019-04-11,35.85,35.93,35.69,35.81,35.81,9273300
2019-04-12,35.9,36.2,35.73,36.08,36.08,7693400
