Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,75.81,77.19,75.76,77.1,77.1,1013000
2019-04-02,77.1,77.1,76.03,76.59,76.59,646100
2019-04-03,76.92,77.13,76.05,76.28,76.28,582000
2019-04-04,76.22,76.53,75.78,76.15,76.15,914600
2019-04-05,76.52,77.06,76.25,76.71,76.71,689500
2019-04-08,76.43,76.91,76.3,76.7,76.7,929900
2019-04-09,76.19,76.21,75.38,75.57,75.57,987100
2019-04-10,75.74,75.82,74.89,75.51,75.51,1147300
2019-04-11,75.55,76.54,75.46,76.38,76.38,798700
2019-04-12,76.85,77.33,76.68,77.0,77.0,746600
