Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,139.34,140.45,138.65,140.34,140.34,349600
2019-04-02,140.31,142.01,139.36,141.78,141.78,495600
2019-04-03,142.2,143.17,141.5,142.59,142.59,495000
2019-04-04,142.73,143.25,141.27,141.75,141.75,398000
2019-04-05,142.0,142.72,141.49,141.95,141.95,310500
2019-04-08,141.73,141.73,140.41,141.37,141.37,276100
2019-04-09,140.59,141.74,140.59,141.2,141.2,264500
2019-04-10,141.27,142.61,141.04,142.06,142.06,318600
2019-04-11,142.61,143.21,141.88,143.13,143.13,331700
2019-04-12,143.57,144.17,142.99,144.12,144.12,431200
