Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,26.82,27.24,26.76,27.2,27.2,4279900
2019-04-02,27.25,27.48,27.0,27.13,27.13,3234300
2019-04-03,27.35,27.46,27.11,27.24,27.24,4246900
2019-04-04,27.3,27.36,26.8,26.92,26.92,1981600
2019-04-05,26.79,27.16,26.68,27.03,27.03,2407400
2019-04-08,27.04,27.36,26.83,27.34,27.34,2602900
2019-04-09,27.12,27.24,26.89,27.19,27.19,2641200
2019-04-10,27.26,27.54,27.13,27.49,27.49,2372300
2019-04-11,27.54,27.6,27.38,27.51,27.51,1413900
2019-04-12,27.67,27.82,27.56,27.8,27.8,1643300
