Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,18.14,18.3,17.98,18.18,18.18,3195600
2019-04-02,18.15,18.33,17.94,18.32,18.32,3365800
2019-04-03,18.3,18.38,18.16,18.18,18.18,3023700
2019-04-04,18.22,18.28,18.05,18.17,18.17,2017000
2019-04-05,18.16,18.46,18.11,18.45,18.45,2622200
2019-04-08,18.4,18.41,18.25,18.3,18.3,3367500
2019-04-09,18.3,18.3,18.1,18.16,18.16,2470600
2019-04-10,18.27,18.5,18.17,18.46,18.46,4147000
2019-04-11,18.5,18.56,18.22,18.27,18.27,2328200
2019-04-12,18.27,18.33,18.04,18.24,18.24,3682100
