Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,119.88,122.26,119.41,122.16,122.16,1239900
2019-04-02,122.72,122.89,121.23,121.95,121.95,894300
2019-04-03,123.3,124.2,122.68,124.07,124.07,1960900
2019-04-04,124.01,125.26,123.1,123.99,123.99,898100
2019-04-05,124.57,125.5,123.81,124.34,124.34,1145700
2019-04-08,124.0,124.9,123.19,124.72,124.72,926500
2019-04-09,122.28,123.56,121.21,122.13,122.13,1553300
2019-04-10,121.89,123.62,121.75,123.34,123.34,1060500
2019-04-11,124.15,124.38,122.24,122.91,122.91,1037200
2019-04-12,124.17,124.5,122.12,123.43,123.43,1299200
