Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,20.07,20.21,19.96,20.04,20.04,23043800
2019-04-02,20.02,20.08,19.9,20.05,20.05,13659300
2019-04-03,20.07,20.09,19.81,19.89,19.89,11839900
2019-04-04,19.9,19.94,19.76,19.92,19.92,13201100
2019-04-05,19.9,20.07,19.84,20.05,20.05,9349800
2019-04-08,20.05,20.11,19.86,19.94,19.94,10194900
2019-04-09,19.81,19.92,19.67,19.89,19.89,9516200
2019-04-10,19.96,19.96,19.76,19.84,19.84,9980900
2019-04-11,19.82,19.95,19.75,19.92,19.92,6844300
2019-04-12,19.99,20.03,19.78,19.82,19.82,12234400
