Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,46.99,47.17,46.59,46.72,46.72,11522700
2019-04-02,46.75,46.93,46.57,46.57,46.57,8495000
2019-04-03,46.42,46.59,46.04,46.18,46.18,12854500
2019-04-04,46.34,46.54,46.11,46.48,46.48,7814900
2019-04-05,46.49,46.58,46.2,46.47,46.47,7677600
2019-04-08,46.54,46.57,46.27,46.55,46.55,9421300
2019-04-09,46.45,46.72,46.27,46.67,46.67,8641800
2019-04-10,46.84,47.0,46.56,46.64,46.64,8059900
2019-04-11,46.72,46.75,46.54,46.71,46.71,7352400
2019-04-12,46.67,46.93,46.57,46.74,46.74,10690000
