Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,24.73,24.88,24.28,24.48,24.48,10620100
2019-04-02,24.3,24.37,23.71,23.76,23.76,10286000
2019-04-03,23.83,23.95,23.62,23.8,23.8,10688700
2019-04-04,23.62,23.82,23.52,23.68,23.68,8213500
2019-04-05,23.72,24.16,23.62,23.9,23.9,5362100
2019-04-08,23.89,24.13,23.74,23.86,23.86,4726000
2019-04-09,23.79,24.03,23.72,23.94,23.94,5953300
2019-04-10,24.02,25.01,23.98,24.98,24.98,14217300
2019-04-11,25.08,25.87,25.05,25.74,25.74,18409900
2019-04-12,25.77,25.97,25.52,25.67,25.67,10419600
