Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.2,48.7,48.1,48.68,48.68,988200
2019-04-02,48.62,48.73,48.12,48.19,48.19,692300
2019-04-03,48.46,48.48,47.95,48.2,48.2,850500
2019-04-04,48.24,48.74,48.17,48.49,48.49,601300
2019-04-05,48.47,48.8,48.4,48.6,48.6,751500
2019-04-08,48.63,48.84,48.46,48.59,48.59,734500
2019-04-09,48.47,48.47,48.08,48.34,48.34,547400
2019-04-10,48.36,48.76,48.17,48.68,48.68,488000
2019-04-11,48.83,49.23,48.71,49.1,49.1,1116800
2019-04-12,49.44,49.84,49.11,49.28,49.28,1187800
