Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.82,27.82,27.06,27.21,27.21,4988400
2019-04-02,27.26,27.52,26.95,27.02,27.02,5242000
2019-04-03,27.26,27.64,26.87,26.98,26.98,3765500
2019-04-04,27.03,28.06,27.01,27.72,27.72,4979600
2019-04-05,27.78,27.95,27.34,27.46,27.46,3206500
2019-04-08,27.35,27.76,27.35,27.48,27.48,3022600
2019-04-09,27.42,27.55,26.95,27.0,27.0,3095100
2019-04-10,27.11,27.49,26.81,27.2,27.2,2738000
2019-04-11,27.31,27.53,26.57,26.58,26.58,3386500
2019-04-12,26.7,26.87,25.57,25.83,25.83,5362300
