Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,154.05,155.07,153.22,154.79,154.79,605200
2019-04-02,157.73,158.57,156.27,157.58,157.58,1092800
2019-04-03,158.37,159.13,155.78,156.68,156.68,1166400
2019-04-04,156.88,157.57,156.36,157.45,157.45,442900
2019-04-05,157.97,159.64,157.61,158.98,158.98,593800
2019-04-08,158.76,158.99,157.17,158.77,158.77,415700
2019-04-09,158.65,159.31,157.44,157.64,157.64,533100
2019-04-10,157.82,159.77,157.25,159.61,159.61,572600
2019-04-11,160.0,160.24,157.31,157.87,157.87,422000
2019-04-12,158.63,160.43,157.39,157.45,157.45,609200
