Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,207.74,211.52,207.74,211.32,211.32,416000
2019-04-02,211.68,211.88,209.21,209.52,209.52,333700
2019-04-03,210.22,211.09,205.9,206.67,206.67,398100
2019-04-04,207.25,211.24,207.25,210.02,210.02,444100
2019-04-05,210.51,212.87,210.31,212.78,212.78,395200
2019-04-08,212.63,212.94,210.56,211.99,211.99,409900
2019-04-09,210.99,211.2,209.91,210.93,210.93,457000
2019-04-10,210.63,210.96,209.34,210.37,210.37,599100
2019-04-11,210.37,214.22,209.95,213.74,213.74,416600
2019-04-12,215.0,217.34,214.24,217.06,217.06,321700
