Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,302.56,306.11,301.84,304.29,304.29,1153900
2019-04-02,304.87,306.78,302.87,303.1,303.1,872600
2019-04-03,303.61,304.4,296.14,297.27,297.27,1178300
2019-04-04,298.16,302.05,297.89,299.67,299.67,789500
2019-04-05,299.91,302.66,299.71,302.58,302.58,705200
2019-04-08,301.99,305.86,300.67,305.66,305.66,1121400
2019-04-09,304.36,304.58,301.19,302.68,302.68,867100
2019-04-10,302.23,302.35,297.33,299.12,299.12,1226200
2019-04-11,300.23,305.83,300.0,305.59,305.59,829500
2019-04-12,307.0,309.78,306.03,309.7,309.7,891800
