Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,47.13,47.14,46.55,46.85,46.85,1350400
2019-04-02,46.92,46.93,46.38,46.55,46.55,1712800
2019-04-03,46.52,46.65,46.14,46.53,46.53,1704600
2019-04-04,46.64,46.65,45.99,46.32,46.32,1111500
2019-04-05,46.21,46.76,46.17,46.74,46.74,986500
2019-04-08,46.65,46.75,46.23,46.36,46.36,939900
2019-04-09,46.37,46.47,46.2,46.44,46.44,833900
2019-04-10,46.47,46.9,46.18,46.29,46.29,837600
2019-04-11,46.32,46.65,46.3,46.63,46.63,1152500
2019-04-12,46.56,46.84,46.14,46.81,46.81,801700
