Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,110.21,111.21,105.84,108.93,108.93,10408000
2019-04-02,108.9,110.03,108.86,109.91,109.91,3722400
2019-04-03,110.55,112.21,110.0,111.93,111.93,4127200
2019-04-04,112.14,113.35,111.71,113.32,113.32,3007800
2019-04-05,113.63,115.25,113.63,114.98,114.98,3776800
2019-04-08,115.0,116.17,114.9,115.79,115.79,4988100
2019-04-09,115.23,115.26,112.88,113.14,113.14,3694400
2019-04-10,113.82,113.85,111.9,113.76,113.76,4434900
2019-04-11,113.87,115.22,113.36,115.13,115.13,2540500
2019-04-12,115.58,116.81,115.36,116.26,116.26,3214100
