Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,182.0,185.01,181.45,184.7,184.7,1798700
2019-04-02,185.07,185.81,183.02,184.26,184.26,1361800
2019-04-03,187.63,193.08,186.23,191.54,191.54,3245000
2019-04-04,189.59,193.82,189.31,191.03,191.03,2142700
2019-04-05,193.21,195.79,192.0,195.15,195.15,2146700
2019-04-08,193.6,194.62,191.34,193.58,193.58,1713200
2019-04-09,191.82,191.95,189.17,190.46,190.46,1734700
2019-04-10,189.8,191.61,188.6,190.84,190.84,1450500
2019-04-11,191.31,193.47,190.5,191.31,191.31,1194200
2019-04-12,194.11,195.3,192.47,194.08,194.08,1161900
