Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,52.27,53.05,52.02,52.41,52.41,6312900
2019-04-02,53.17,53.43,52.15,52.71,52.71,4412800
2019-04-03,52.95,53.52,52.82,52.89,52.89,3098300
2019-04-04,53.25,53.3,52.21,53.18,53.18,2799500
2019-04-05,53.25,53.73,53.06,53.25,53.25,2531800
2019-04-08,52.26,52.5,51.67,51.94,51.94,7001700
2019-04-09,51.63,52.08,51.38,51.89,51.89,3380600
2019-04-10,52.57,52.76,51.72,52.62,52.62,3910700
2019-04-11,52.75,53.51,52.69,53.0,53.0,3287100
2019-04-12,53.27,53.64,52.71,53.13,53.13,2738400
