Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,85.06,87.27,85.0,87.17,87.17,2244700
2019-04-02,87.17,89.8,86.57,89.36,89.36,3851600
2019-04-03,90.42,91.9,89.92,90.58,90.58,3456300
2019-04-04,90.31,92.66,90.15,92.2,92.2,2563200
2019-04-05,92.53,93.23,90.49,91.06,91.06,4842500
2019-04-08,91.26,91.94,90.76,91.33,91.33,1726300
2019-04-09,90.78,91.06,89.77,90.25,90.25,1329100
2019-04-10,90.65,90.85,88.79,89.56,89.56,2170200
2019-04-11,89.81,90.8,89.56,90.51,90.51,1820900
2019-04-12,92.94,95.19,91.21,92.29,92.29,4059000
