Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,24.17,24.64,24.06,24.47,24.47,6973600
2019-04-02,24.55,24.74,24.25,24.67,24.67,6588400
2019-04-03,24.9,24.98,24.47,24.61,24.61,6619000
2019-04-04,24.66,26.03,24.59,25.99,25.99,14218700
2019-04-05,26.0,26.33,25.41,25.49,25.49,11618700
2019-04-08,25.48,25.98,25.47,25.66,25.66,7307700
2019-04-09,25.5,25.62,25.01,25.07,25.07,6998100
2019-04-10,25.31,25.59,24.63,24.76,24.76,7233300
2019-04-11,24.84,25.02,24.3,24.32,24.32,9959300
2019-04-12,24.51,24.88,24.25,24.28,24.28,6136900
