Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,238.3,239.75,236.94,239.05,238.72,3475900
2019-04-02,239.23,239.87,238.07,239.26,238.93,3386400
2019-04-03,240.28,240.93,237.82,238.93,238.6,2912500
2019-04-04,238.7,238.77,233.76,236.06,235.73,3096300
2019-04-05,237.21,237.96,236.11,236.63,236.3,2590000
2019-04-08,235.72,236.28,233.12,236.27,236.27,2714500
2019-04-09,235.29,237.25,235.0,235.91,235.91,2491300
2019-04-10,237.0,237.95,236.11,237.06,237.06,1984200
2019-04-11,238.0,238.0,235.04,236.04,236.04,1908200
2019-04-12,237.03,239.0,236.08,238.83,238.83,3452100
