Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,126.24,127.59,125.85,127.45,127.45,1383400
2019-04-02,127.23,128.6,126.51,128.5,128.5,1783100
2019-04-03,129.45,131.85,128.72,131.59,131.59,2218400
2019-04-04,131.55,132.5,131.13,132.2,132.2,2269000
2019-04-05,132.57,134.81,132.32,134.06,134.06,2210300
2019-04-08,133.88,134.96,133.47,134.91,134.91,1866700
2019-04-09,134.13,134.95,132.27,132.65,132.65,1689000
2019-04-10,132.99,133.18,132.3,132.75,132.75,1476700
2019-04-11,133.42,133.82,132.72,133.25,133.25,1245200
2019-04-12,133.49,134.74,133.26,134.65,134.65,1163900
