Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,118.0,118.93,117.38,118.84,118.84,1155400
2019-04-02,116.74,118.21,114.71,114.79,114.79,2709300
2019-04-03,115.8,117.79,113.88,115.08,115.08,1753000
2019-04-04,115.35,115.66,113.2,115.01,115.01,1746900
2019-04-05,115.51,117.82,115.09,116.7,116.7,2471000
2019-04-08,116.71,117.81,115.83,116.82,116.82,1161100
2019-04-09,116.28,116.97,114.61,115.8,115.8,917100
2019-04-10,116.07,116.48,113.42,115.27,115.27,1127000
2019-04-11,115.67,115.92,113.48,114.19,114.19,989700
2019-04-12,114.87,117.11,114.38,116.05,116.05,1343100
