Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.75,44.19,42.74,44.13,44.13,6164500
2019-04-02,44.11,44.44,43.84,43.93,43.93,5029600
2019-04-03,44.35,44.84,44.01,44.19,44.19,4013600
2019-04-04,44.35,44.92,44.12,44.74,44.74,4042900
2019-04-05,44.86,45.17,44.56,45.06,45.06,4505300
2019-04-08,44.9,45.14,44.81,45.01,45.01,3243000
2019-04-09,44.76,44.87,44.12,44.3,44.3,6128800
2019-04-10,44.25,44.88,43.95,44.83,44.83,3240400
2019-04-11,45.07,45.68,45.0,45.28,45.28,4251500
2019-04-12,45.97,46.53,45.63,45.86,45.86,5493400
