Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,127.04,128.76,126.51,127.88,127.88,537200
2019-04-02,127.52,128.64,127.05,127.36,127.36,399600
2019-04-03,128.08,128.25,126.58,126.82,126.82,745100
2019-04-04,126.7,129.79,126.42,129.69,129.69,532600
2019-04-05,130.25,132.02,129.98,131.59,131.59,379400
2019-04-08,131.4,132.83,130.65,132.75,132.75,532100
2019-04-09,132.71,132.71,130.64,131.31,131.31,595700
2019-04-10,131.0,132.24,129.12,131.2,131.2,646500
2019-04-11,130.92,132.06,130.71,131.4,131.4,320900
2019-04-12,132.19,133.34,130.75,132.13,132.13,467100
