Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,203.9,205.06,202.23,204.0,204.0,813000
2019-04-02,204.65,207.71,203.79,205.43,205.43,1019800
2019-04-03,205.58,206.69,201.57,202.66,202.66,557100
2019-04-04,202.76,206.69,202.07,203.82,203.82,452900
2019-04-05,204.65,206.8,204.18,205.82,205.82,446100
2019-04-08,204.88,206.83,204.88,205.82,205.82,320100
2019-04-09,205.69,206.38,203.56,204.98,204.98,357400
2019-04-10,204.62,205.12,202.77,204.84,204.84,289300
2019-04-11,205.67,207.9,204.65,207.21,207.21,528000
2019-04-12,210.99,214.38,208.43,212.16,212.16,736300
