Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,54.38,54.87,53.05,53.28,53.28,5337600
2019-04-02,52.99,54.19,52.23,53.33,53.33,7487300
2019-04-03,53.5,53.91,52.45,52.59,52.59,4976500
2019-04-04,52.76,53.12,52.42,52.87,52.87,3448400
2019-04-05,53.23,53.8,52.73,52.88,52.88,3193000
2019-04-08,53.07,53.4,52.75,53.07,53.07,3207800
2019-04-09,53.03,54.74,53.03,54.69,54.69,6231600
2019-04-10,54.7,55.16,54.18,54.97,54.97,5641400
2019-04-11,55.17,55.38,53.86,54.75,54.75,8056900
2019-04-12,54.75,54.83,52.57,53.02,53.02,6158300
