Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,27.4,27.94,27.33,27.84,27.84,3181600
2019-04-02,27.82,27.96,27.4,27.51,27.51,2925800
2019-04-03,27.79,27.97,27.25,27.36,27.36,3661300
2019-04-04,27.29,27.73,27.13,27.72,27.72,2294700
2019-04-05,27.77,28.01,27.59,27.92,27.92,3509000
2019-04-08,27.93,27.94,27.56,27.85,27.85,2275800
2019-04-09,27.69,27.89,27.36,27.44,27.44,2449400
2019-04-10,27.5,27.62,27.22,27.36,27.36,4568500
2019-04-11,27.29,27.37,26.86,27.0,27.0,2770500
2019-04-12,26.81,27.1,26.42,26.8,26.8,6289200
