Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,83.73,83.85,82.94,83.3,83.3,8416300
2019-04-02,83.46,83.72,82.9,83.21,83.21,5606000
2019-04-03,83.27,83.66,82.75,83.18,83.18,6250700
2019-04-04,83.01,83.2,81.21,81.85,81.85,9787900
2019-04-05,81.97,82.16,81.11,81.15,81.15,9851300
2019-04-08,80.96,81.26,80.35,80.95,80.95,10101400
2019-04-09,80.57,80.98,80.26,80.8,80.8,10291300
2019-04-10,80.86,81.32,80.65,80.82,80.82,6578500
2019-04-11,80.93,80.93,79.39,79.84,79.84,9933700
2019-04-12,80.01,80.44,79.3,79.43,79.43,9699200
