Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,141.51,142.46,140.19,141.32,141.32,701100
2019-04-02,141.9,142.35,140.76,141.67,141.67,662700
2019-04-03,142.43,143.61,141.64,142.29,142.29,957400
2019-04-04,142.69,142.75,139.74,140.68,140.68,442600
2019-04-05,141.33,141.45,140.29,140.66,140.66,1030700
2019-04-08,140.65,140.91,139.49,140.63,140.63,578600
2019-04-09,140.53,141.5,139.71,140.78,140.78,756800
2019-04-10,141.0,142.75,140.9,142.7,142.7,646100
2019-04-11,143.22,143.52,142.14,143.05,143.05,905000
2019-04-12,143.47,143.67,142.18,143.23,143.23,732400
