Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,729.12,736.1,723.4,730.34,730.34,107000
2019-04-02,733.63,736.88,730.0,734.45,734.45,176100
2019-04-03,737.61,740.81,729.39,732.73,732.73,113600
2019-04-04,732.61,736.26,721.74,727.2,727.2,121000
2019-04-05,732.88,739.96,729.06,734.84,734.84,90000
2019-04-08,733.31,740.04,723.81,738.37,738.37,72700
2019-04-09,736.11,739.07,731.62,733.99,733.99,91000
2019-04-10,737.0,745.37,737.0,737.97,737.97,121100
2019-04-11,740.38,741.4,734.53,740.75,740.75,102100
2019-04-12,745.34,750.0,738.33,742.35,742.35,106900
