Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,42.27,42.76,41.72,42.25,42.25,28073000
2019-04-02,42.08,42.79,41.75,42.44,42.44,21438100
2019-04-03,43.55,44.85,43.55,43.9,43.9,39097200
2019-04-04,42.36,43.33,42.25,42.89,42.89,37038400
2019-04-05,43.3,43.54,42.72,43.32,43.32,21119400
2019-04-08,42.18,43.14,42.12,42.9,42.9,24546800
2019-04-09,42.54,42.6,41.27,41.72,41.72,29055900
2019-04-10,41.69,42.44,41.51,42.17,42.17,23252200
2019-04-11,42.2,42.73,42.13,42.28,42.28,18163900
2019-04-12,42.85,43.2,41.81,42.01,42.01,21740400
