Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,55.47,56.24,55.42,56.11,56.11,1708300
2019-04-02,56.03,56.56,55.65,56.5,56.5,1321000
2019-04-03,56.81,57.0,56.58,56.76,56.76,1016900
2019-04-04,56.84,57.09,56.67,56.73,56.73,1175300
2019-04-05,56.89,57.42,56.82,57.13,57.13,1469900
2019-04-08,57.1,57.31,56.52,57.29,57.29,2000900
2019-04-09,56.99,57.0,55.66,55.88,55.88,1569100
2019-04-10,55.96,56.69,55.7,56.5,56.5,1292900
2019-04-11,56.77,57.68,56.71,57.48,57.48,1906600
2019-04-12,57.96,58.81,57.93,58.6,58.6,2154200
