Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,35.84,36.03,35.43,35.61,34.74,9228300
2019-04-02,35.51,35.92,35.38,35.83,34.96,11167100
2019-04-03,35.87,36.1,35.71,35.95,35.08,8077000
2019-04-04,35.94,36.49,35.63,36.48,35.59,10703000
2019-04-05,36.35,36.53,36.11,36.5,35.61,5761500
2019-04-08,36.71,36.83,36.35,36.66,35.77,6306500
2019-04-09,36.7,36.78,36.21,36.6,35.71,5079800
2019-04-10,36.53,36.69,36.2,36.27,35.39,6562100
2019-04-11,35.93,36.28,35.65,35.97,35.09,10950300
2019-04-12,36.11,36.42,35.6,36.25,35.37,10550700
