Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,85.04,85.32,84.7,85.23,85.23,6737400
2019-04-02,85.0,85.26,84.16,84.37,84.37,4433800
2019-04-03,84.9,84.99,84.25,84.47,84.47,4080900
2019-04-04,84.49,85.38,84.36,85.28,85.28,3660700
2019-04-05,86.0,86.16,85.05,85.4,85.4,7367400
2019-04-08,85.01,85.29,84.57,84.73,84.73,4705800
2019-04-09,84.22,84.6,83.97,84.28,84.28,3804500
2019-04-10,84.64,85.01,84.56,84.88,84.88,3918400
2019-04-11,84.9,85.05,84.28,85.0,85.0,3347400
2019-04-12,85.3,86.49,85.29,86.24,86.24,6037000
