Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,90.98,93.09,90.92,92.7,92.7,1101200
2019-04-02,92.55,93.53,91.9,93.28,93.28,915500
2019-04-03,94.12,94.81,93.83,94.13,94.13,869000
2019-04-04,94.38,95.32,94.23,94.74,94.74,686400
2019-04-05,95.08,95.37,94.41,95.06,95.06,1156900
2019-04-08,95.01,95.24,94.06,94.4,94.4,891400
2019-04-09,93.87,93.87,92.82,93.43,93.43,740500
2019-04-10,93.45,93.85,92.57,93.4,93.4,938100
2019-04-11,93.95,94.66,92.85,93.63,93.63,1028200
2019-04-12,96.53,96.53,94.15,94.55,94.55,1224300
