Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,183.26,183.5,180.37,182.28,182.28,12095600
2019-04-02,183.25,184.79,181.52,183.0,183.0,11023000
2019-04-03,185.0,191.0,184.8,188.62,188.62,19719500
2019-04-04,188.0,189.97,185.73,188.26,188.26,11434400
2019-04-05,190.0,191.65,188.53,190.95,190.95,12043600
2019-04-08,189.72,192.8,188.75,191.79,191.79,10604800
2019-04-09,190.44,190.89,187.56,189.26,189.26,10999300
2019-04-10,189.23,193.14,189.05,192.1,192.1,11119300
2019-04-11,192.2,193.47,189.55,191.54,191.54,9365000
2019-04-12,193.1,193.26,189.66,190.01,190.01,11792700
