Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,12.6,12.67,12.55,12.61,12.61,505800
2019-04-02,12.64,12.67,12.48,12.48,12.48,909400
2019-04-03,12.57,12.75,12.52,12.55,12.55,607900
2019-04-04,12.56,12.7,12.56,12.58,12.58,1011800
2019-04-05,12.59,12.71,12.56,12.64,12.64,339900
2019-04-08,12.66,12.7,12.58,12.63,12.63,347600
2019-04-09,12.58,12.66,12.57,12.63,12.63,291900
2019-04-10,12.66,12.76,12.63,12.76,12.76,238800
2019-04-11,12.75,12.76,12.63,12.64,12.64,333600
2019-04-12,12.68,12.79,12.68,12.75,12.75,387400
