Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,73.29,73.87,72.95,73.62,73.62,1642400
2019-04-02,73.93,74.0,73.27,73.54,73.54,1475200
2019-04-03,73.71,74.09,73.07,73.51,73.51,1561800
2019-04-04,73.36,74.36,73.36,73.96,73.96,1360900
2019-04-05,73.95,75.52,73.49,75.16,75.16,2302800
2019-04-08,74.96,75.37,74.56,75.33,75.33,1116000
2019-04-09,74.88,75.23,74.62,74.98,74.98,1776800
2019-04-10,74.98,75.2,74.57,75.19,75.19,1319400
2019-04-11,75.57,76.54,75.37,75.66,75.66,1440600
2019-04-12,75.91,76.45,75.55,76.43,76.43,1607100
