Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,66.89,67.28,66.54,67.18,67.18,2809900
2019-04-02,67.21,67.63,66.19,66.63,66.63,3312400
2019-04-03,67.23,67.23,65.84,66.06,66.06,3056700
2019-04-04,66.11,66.62,65.57,66.44,66.44,2855700
2019-04-05,66.66,68.36,66.65,68.04,68.04,3808400
2019-04-08,68.35,68.83,67.86,68.37,68.37,2527700
2019-04-09,68.03,68.18,66.98,67.28,67.28,3301400
2019-04-10,67.48,67.7,66.99,67.18,67.18,3645800
2019-04-11,66.76,67.57,66.44,67.18,67.18,2956400
2019-04-12,66.04,66.45,64.04,65.33,65.33,10070600
