Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,68.81,69.24,68.34,69.05,69.05,2669500
2019-04-02,69.1,69.1,68.2,68.42,68.42,4759500
2019-04-03,68.67,68.95,68.03,68.33,68.33,2630600
2019-04-04,68.25,69.41,68.01,69.02,69.02,3534800
2019-04-05,69.32,69.43,68.83,69.02,69.02,1221400
2019-04-08,68.84,69.09,68.49,68.94,68.94,1076800
2019-04-09,68.52,68.77,67.95,68.4,68.4,1341200
2019-04-10,68.57,68.91,68.17,68.78,68.78,1103000
2019-04-11,68.97,69.77,68.62,69.71,69.71,1395800
2019-04-12,70.0,70.73,69.8,70.5,70.5,1328500
