Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,122.59,122.89,121.59,122.0,122.0,5025700
2019-04-02,121.9,122.26,121.56,121.68,121.68,3242600
2019-04-03,121.68,122.23,120.74,121.56,121.56,4534400
2019-04-04,121.81,122.13,121.17,121.47,121.47,3022500
2019-04-05,121.35,121.67,120.82,121.62,121.62,3971500
2019-04-08,121.72,122.04,121.21,122.0,122.0,3140100
2019-04-09,121.74,122.2,120.85,122.17,122.17,3864400
2019-04-10,122.35,122.7,121.66,122.04,122.04,2681100
2019-04-11,122.36,122.75,121.17,121.67,121.67,3399700
2019-04-12,121.53,122.33,121.15,122.23,122.23,3501100
