Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,50.74,52.06,50.68,51.98,51.98,1417200
2019-04-02,51.94,52.57,51.63,51.72,51.72,1195400
2019-04-03,52.24,52.66,51.21,52.26,52.26,1388200
2019-04-04,52.23,52.94,52.23,52.61,52.61,812700
2019-04-05,52.61,53.52,52.39,53.19,53.19,1674300
2019-04-08,53.1,53.4,52.9,53.32,53.32,802300
2019-04-09,53.1,53.1,51.63,51.8,51.8,1813300
2019-04-10,51.84,52.83,51.6,52.75,52.75,1069300
2019-04-11,53.03,53.72,52.75,53.46,53.46,1038300
2019-04-12,54.32,55.06,54.26,54.87,54.87,1227300
