Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.23,104.23,103.14,103.64,102.91,6626500
2019-04-02,103.61,104.02,103.26,103.75,103.02,6088800
2019-04-03,103.58,103.89,102.75,103.69,102.96,5226500
2019-04-04,103.48,103.67,102.79,103.43,102.71,4786100
2019-04-05,103.61,103.69,103.17,103.65,102.92,4281800
2019-04-08,103.93,105.14,103.5,104.97,104.23,8468600
2019-04-09,104.55,104.76,104.14,104.66,103.93,5820300
2019-04-10,104.66,105.0,104.24,104.65,103.92,5394300
2019-04-11,104.58,105.05,104.37,104.75,104.02,5078400
2019-04-12,104.75,105.06,104.17,105.06,104.32,6707900
