Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,173.77,178.24,173.77,177.87,177.87,960600
2019-04-02,177.75,178.29,176.37,177.52,177.52,678500
2019-04-03,178.8,180.74,178.43,179.47,179.47,1126400
2019-04-04,179.59,181.74,179.07,181.67,181.67,619100
2019-04-05,181.93,183.68,181.0,183.4,183.4,970200
2019-04-08,182.28,184.58,181.12,184.56,184.56,618300
2019-04-09,183.06,183.06,180.47,180.91,180.91,911100
2019-04-10,180.43,183.57,180.43,183.05,183.05,803300
2019-04-11,183.38,186.16,182.51,185.87,185.87,783600
2019-04-12,186.85,189.02,186.85,188.64,188.64,885100
