Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,97.3,97.99,96.98,97.59,97.52,654000
2019-04-02,97.28,97.67,97.0,97.41,97.34,363100
2019-04-03,97.92,98.82,97.47,98.59,98.52,761900
2019-04-04,98.87,99.04,96.9,97.82,97.75,522600
2019-04-05,97.94,99.42,97.94,99.0,98.93,579700
2019-04-08,99.13,99.76,98.03,99.71,99.64,494700
2019-04-09,102.38,103.0,100.21,101.12,101.05,1035200
2019-04-10,101.1,102.23,100.87,101.1,101.03,603600
2019-04-11,100.98,101.28,100.12,100.35,100.28,620200
2019-04-12,101.06,101.84,99.72,99.99,99.92,883200
