Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,88.38,88.83,87.94,88.2,88.2,4249600
2019-04-02,88.65,89.09,87.74,88.01,88.01,3995200
2019-04-03,87.54,87.86,85.18,85.81,85.81,7540300
2019-04-04,86.09,86.7,85.95,86.07,86.07,4672800
2019-04-05,86.11,86.25,84.91,85.44,85.44,5495000
2019-04-08,85.77,85.83,84.96,85.31,85.31,4439100
2019-04-09,85.23,86.04,85.09,85.84,85.84,3898900
2019-04-10,85.52,86.04,85.41,85.71,85.71,2855400
2019-04-11,85.76,86.0,85.47,85.51,85.51,3893400
2019-04-12,86.0,86.04,85.35,85.77,85.77,4652900
