Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,123.98,127.17,123.84,126.91,126.0,1837000
2019-04-02,126.55,128.03,126.16,126.76,125.85,1698200
2019-04-03,127.99,129.24,126.09,126.81,125.9,2081400
2019-04-04,126.8,129.23,126.8,128.42,127.5,1639700
2019-04-05,128.49,129.25,127.36,127.91,126.99,1331900
2019-04-08,127.91,128.55,127.34,128.24,127.32,1460700
2019-04-09,127.36,127.69,126.22,126.8,125.89,1572800
2019-04-10,126.57,127.53,125.78,127.29,126.38,1806300
2019-04-11,128.0,128.91,127.5,128.72,127.8,2051700
2019-04-12,129.44,133.57,129.18,132.7,131.75,4293600
