Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,44.9,45.6,44.84,45.49,45.29,1694400
2019-04-02,45.49,45.7,44.89,45.06,44.86,2055400
2019-04-03,45.36,45.47,44.76,44.9,44.7,1399400
2019-04-04,44.87,45.19,44.74,45.11,44.91,913400
2019-04-05,45.13,45.34,45.04,45.21,45.01,922400
2019-04-08,45.08,45.28,44.92,45.26,45.06,884700
2019-04-09,40.12,41.0,38.5,39.13,38.96,8596000
2019-04-10,39.0,39.5,38.82,39.23,39.06,3517900
2019-04-11,39.22,40.35,38.99,39.98,39.8,4205300
2019-04-12,40.24,40.33,39.67,40.06,39.88,2258700
