Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,113.62,115.1,113.43,114.22,114.22,1526100
2019-04-02,114.43,115.26,113.52,114.24,114.24,961900
2019-04-03,115.25,115.71,114.16,114.58,114.58,1284100
2019-04-04,115.34,115.99,114.55,115.0,115.0,1301900
2019-04-05,115.08,115.64,114.62,114.96,114.96,837800
2019-04-08,114.78,114.89,113.77,114.4,114.4,988200
2019-04-09,113.83,114.84,113.35,114.28,114.28,797500
2019-04-10,114.66,115.24,114.46,114.9,114.9,779300
2019-04-11,114.9,115.27,114.25,114.52,114.52,761900
2019-04-12,115.4,115.78,114.59,115.6,115.6,879800
