Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,48.58,49.31,48.51,49.08,49.08,783300
2019-04-02,48.71,48.71,47.29,47.54,47.54,1221800
2019-04-03,48.07,48.54,47.17,47.51,47.51,1197800
2019-04-04,47.37,50.09,47.28,49.38,49.38,2784800
2019-04-05,49.77,50.54,49.67,50.46,50.46,1640900
2019-04-08,51.0,51.62,50.73,51.58,51.58,1100800
2019-04-09,51.32,51.42,50.45,50.8,50.8,968900
2019-04-10,51.06,51.48,50.77,51.25,51.25,782100
2019-04-11,51.25,51.3,49.77,50.18,50.18,680100
2019-04-12,50.42,50.94,50.1,50.37,50.37,665600
