Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,92.7,95.99,92.64,95.87,95.87,2543200
2019-04-02,95.84,96.79,95.09,95.09,95.09,2125200
2019-04-03,96.24,97.11,95.88,96.46,96.46,1775500
2019-04-04,96.51,97.96,96.27,97.1,97.1,1404000
2019-04-05,97.44,98.87,97.05,98.47,98.47,2382000
2019-04-08,98.0,98.97,97.77,98.89,98.89,1725300
2019-04-09,98.15,98.24,96.8,97.26,97.26,1795500
2019-04-10,97.3,98.71,96.83,98.39,98.39,1351700
2019-04-11,99.11,100.42,98.91,99.56,99.56,1735800
2019-04-12,101.09,102.72,100.82,101.46,101.46,2575500
