Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,217.35,218.54,216.1,218.31,218.31,777900
2019-04-02,218.55,219.63,216.49,219.43,219.43,695900
2019-04-03,219.27,220.14,216.99,218.91,218.91,577200
2019-04-04,219.49,219.49,216.95,217.72,217.72,734300
2019-04-05,217.57,218.73,217.2,218.57,218.57,679100
2019-04-08,218.42,218.45,216.66,218.0,218.0,604900
2019-04-09,220.09,220.81,219.01,219.4,219.4,791200
2019-04-10,220.38,220.38,218.47,219.5,219.5,563000
2019-04-11,219.56,221.06,218.6,219.64,219.64,450700
2019-04-12,219.11,221.79,217.87,221.76,221.76,553400
