Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,123.22,125.16,122.85,125.03,125.03,2051300
2019-04-02,125.21,125.32,123.3,124.2,124.2,1256700
2019-04-03,125.0,125.47,124.13,124.48,124.48,1153100
2019-04-04,124.45,129.09,123.76,128.49,128.49,1583000
2019-04-05,128.32,129.7,126.9,127.26,127.26,1385600
2019-04-08,126.83,128.24,126.04,127.4,127.4,1008600
2019-04-09,128.89,129.15,126.51,126.6,126.6,1165300
2019-04-10,126.76,128.3,126.46,127.33,127.33,796000
2019-04-11,127.04,127.89,126.25,126.91,126.91,725100
2019-04-12,127.37,129.15,127.06,129.15,129.15,955200
