Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,38.06,38.68,37.95,38.64,38.6,1488000
2019-04-02,38.64,38.8,38.32,38.71,38.67,858400
2019-04-03,38.92,39.29,38.7,38.75,38.71,864600
2019-04-04,38.73,39.17,38.72,39.11,39.11,935200
2019-04-05,39.17,39.74,39.08,39.51,39.51,1384100
2019-04-08,39.35,39.98,39.26,39.97,39.97,1985600
2019-04-09,39.68,39.73,38.98,38.99,38.99,2284900
2019-04-10,39.07,39.42,38.7,39.32,39.32,1724000
2019-04-11,39.39,39.76,39.19,39.69,39.69,814200
2019-04-12,39.9,40.47,39.86,40.39,40.39,977700
