Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,153.77,155.53,150.91,150.99,150.99,2114000
2019-04-02,151.39,152.02,148.05,148.18,148.18,1643100
2019-04-03,148.2,148.76,145.1,146.06,146.06,2158700
2019-04-04,146.01,148.47,145.42,147.52,147.52,1103400
2019-04-05,148.01,150.72,147.9,150.68,150.68,1396600
2019-04-08,151.5,153.07,150.52,151.73,151.73,1272500
2019-04-09,150.74,151.21,148.57,148.94,148.94,1630900
2019-04-10,149.45,151.11,149.44,150.49,150.49,1249200
2019-04-11,149.95,151.44,148.53,150.92,150.92,1170400
2019-04-12,164.43,168.5,162.18,168.32,168.32,5942800
