Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,104.99,105.76,103.85,105.55,105.55,6157200
2019-04-02,105.76,105.76,104.66,105.23,105.23,4177400
2019-04-03,105.91,105.97,104.49,104.69,104.69,5442400
2019-04-04,104.7,104.97,102.65,104.46,104.46,7996800
2019-04-05,104.84,105.8,104.62,105.73,105.73,8573800
2019-04-08,105.66,107.0,104.67,106.57,106.57,9261800
2019-04-09,106.06,107.51,105.83,106.93,106.93,7217100
2019-04-10,107.15,107.77,106.39,107.51,107.51,6561800
2019-04-11,107.51,107.74,105.91,106.46,106.46,7681000
2019-04-12,107.03,108.54,106.41,108.48,108.48,6997700
