Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,115.79,117.17,115.31,115.61,115.61,1615500
2019-04-02,115.61,116.51,115.17,116.26,116.26,1090700
2019-04-03,116.96,117.06,115.56,116.63,116.63,981900
2019-04-04,117.01,117.01,115.63,115.87,115.87,763400
2019-04-05,115.84,117.48,115.84,117.27,117.27,911800
2019-04-08,117.28,118.95,116.92,118.42,118.42,1843100
2019-04-09,117.54,118.31,115.01,115.32,115.32,1229000
2019-04-10,115.84,116.76,115.58,116.51,116.51,1015600
2019-04-11,116.87,119.02,116.86,118.94,118.94,1264400
2019-04-12,119.78,122.06,119.57,121.94,121.94,1757200
