Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,216.58,218.45,216.13,217.33,217.33,232000
2019-04-02,217.63,217.76,214.89,214.89,214.89,237900
2019-04-03,216.16,216.26,214.39,216.14,216.14,246800
2019-04-04,216.14,217.46,214.94,215.29,215.29,166900
2019-04-05,215.26,216.46,215.15,216.31,216.31,197400
2019-04-08,216.56,219.08,215.79,217.94,217.94,227200
2019-04-09,217.99,217.99,213.86,214.69,214.69,313300
2019-04-10,214.55,216.85,214.18,216.81,216.81,330100
2019-04-11,217.92,222.63,217.65,221.91,221.91,363300
2019-04-12,223.5,227.09,223.31,226.34,226.34,330500
