Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,412.51,412.9,408.0,410.05,410.05,496500
2019-04-02,411.35,415.89,407.56,414.82,414.82,513000
2019-04-03,414.34,415.16,400.84,407.0,407.0,789300
2019-04-04,408.0,410.8,400.83,406.53,406.53,517300
2019-04-05,408.17,412.63,406.55,408.94,408.94,657400
2019-04-08,408.08,410.94,396.0,401.26,401.26,703800
2019-04-09,400.0,400.34,395.14,395.73,395.73,577700
2019-04-10,397.18,408.48,394.33,408.23,408.23,579700
2019-04-11,410.0,410.19,391.73,393.48,393.48,843500
2019-04-12,393.17,394.5,381.18,382.94,382.94,1254100
