Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,14.33,14.72,14.32,14.67,14.67,15469300
2019-04-02,14.66,14.94,14.55,14.84,14.84,12535600
2019-04-03,15.05,15.28,14.85,14.87,14.87,16022700
2019-04-04,14.82,15.17,14.79,15.1,15.1,10009500
2019-04-05,15.15,15.24,14.98,15.14,15.14,8871100
2019-04-08,15.05,15.33,15.04,15.24,15.24,9973400
2019-04-09,15.11,15.16,14.9,15.0,15.0,8770400
2019-04-10,15.0,15.13,14.82,15.12,15.12,7455000
2019-04-11,15.2,15.35,15.06,15.21,15.21,8237000
2019-04-12,15.46,15.71,15.25,15.6,15.6,9762800
